AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.1.576.0,

PROFILE DETAILS
CPU Details:,Family(0x1a) Model(0x24)
Sampling Interval:,100 milli-seconds
Profile Start Time:,Jun-21-2025_16-26-23,
Profile Duration:,20 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
72.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
74.,core0-power,Power,W,Core0-Average Power reported in Watts.
76.,core1-power,Power,W,Core1-Average Power reported in Watts.
78.,core2-power,Power,W,Core2-Average Power reported in Watts.
80.,core3-power,Power,W,Core3-Average Power reported in Watts.
82.,core4-power,Power,W,Core4-Average Power reported in Watts.
84.,core5-power,Power,W,Core5-Average Power reported in Watts.
86.,core6-power,Power,W,Core6-Average Power reported in Watts.
88.,core7-power,Power,W,Core7-Average Power reported in Watts.
90.,core8-power,Power,W,Core8-Average Power reported in Watts.
92.,core9-power,Power,W,Core9-Average Power reported in Watts.
94.,core10-power,Power,W,Core10-Average Power reported in Watts.
96.,core11-power,Power,W,Core11-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power,core6-power,core7-power,core8-power,core9-power,core10-power,core11-power
35,16:26:27:515,   44.90,    1.08,    1.08,    1.10,    3.94,    0.91,    0.88,    0.82,    0.78,    0.83,    0.80,    0.90,    0.88
36,16:26:27:617,   44.94,    1.07,    1.06,    1.09,    3.83,    0.88,    0.92,    0.87,    0.83,    0.85,    0.89,    0.88,    0.91
37,16:26:27:719,   45.68,    1.05,    1.04,    1.07,    3.76,    1.06,    0.90,    0.90,    0.88,    0.83,    0.84,    0.99,    0.88
38,16:26:27:821,   43.85,    1.11,    1.11,    1.14,    3.91,    0.89,    0.88,    0.94,    0.98,    0.87,    0.91,    0.87,    0.95
39,16:26:27:924,   45.53,    1.13,    1.11,    1.15,    3.93,    0.91,    1.05,    0.86,    0.89,    0.91,    1.01,    0.96,    1.07
40,16:26:28:026,   44.89,    1.10,    1.09,    1.12,    3.89,    0.94,    0.95,    0.88,    0.82,    0.87,    0.87,    0.94,    0.86
41,16:26:28:129,   45.27,    1.08,    1.07,    1.10,    3.82,    0.90,    0.86,    0.82,    0.79,    0.82,    0.86,    0.90,    0.83
42,16:26:28:231,   45.09,    1.06,    1.06,    1.09,    3.79,    0.87,    0.82,    0.89,    0.78,    0.84,    0.79,    0.86,    0.80
43,16:26:28:333,   45.02,    1.06,    1.06,    1.08,    3.85,    0.83,    0.91,    0.83,    0.80,    0.81,    0.77,    0.86,    0.88
44,16:26:28:435,   44.63,    1.07,    1.07,    1.10,    3.87,    0.85,    0.90,    0.85,    0.85,    0.87,    0.79,    0.87,    0.84
45,16:26:28:537,   45.48,    1.07,    1.07,    1.11,    3.82,    0.87,    0.91,    0.92,    0.84,    0.86,    0.90,    0.94,    0.89
46,16:26:28:639,   44.84,    1.03,    1.02,    1.04,    3.71,    0.88,    0.83,    0.92,    0.83,    0.78,    0.79,    0.88,    0.87
47,16:26:28:742,   45.17,    1.01,    1.00,    1.02,    3.59,    0.99,    0.81,    0.79,    0.86,    0.83,    0.95,    0.84,    0.87
48,16:26:28:845,   44.69,    1.01,    1.01,    1.04,    3.73,    0.88,    0.83,    0.82,    0.75,    0.80,    0.80,    0.85,    0.82
49,16:26:28:947,   44.87,    1.07,    1.07,    1.09,    3.76,    1.04,    0.88,    0.86,    0.86,    0.82,    0.90,    0.94,    0.91
50,16:26:29:049,   45.12,    1.03,    1.04,    1.05,    3.72,    0.88,    0.83,    0.83,    0.82,    0.83,    0.96,    0.87,    0.82
51,16:26:29:151,   44.96,    1.06,    1.04,    1.07,    3.77,    0.90,    0.83,    0.83,    0.77,    0.82,    0.89,    0.90,    0.81
52,16:26:29:253,   45.09,    1.04,    1.04,    1.06,    3.74,    0.87,    0.83,    0.91,    0.76,    0.81,    0.89,    0.81,    0.85
53,16:26:29:356,   45.02,    1.04,    1.04,    1.06,    3.73,    0.82,    0.93,    0.86,    0.77,    0.83,    0.85,    0.93,    0.83
54,16:26:29:460,   44.67,    1.04,    1.03,    1.06,    3.77,    1.00,    0.81,    0.81,    0.81,    0.86,    0.83,    0.81,    0.80
55,16:26:29:562,   45.22,    1.06,    1.05,    1.08,    3.78,    0.82,    0.84,    0.90,    0.76,    0.83,    0.91,    0.85,    0.80
56,16:26:29:666,   45.05,    1.04,    1.05,    1.06,    3.72,    0.81,    0.88,    0.84,    0.93,    0.90,    0.84,    0.95,    0.91
57,16:26:29:768,   44.96,    1.06,    1.05,    1.08,    3.77,    1.03,    0.93,    0.86,    0.89,    0.88,    0.91,    0.96,    1.07
58,16:26:29:869,   45.13,    1.07,    1.06,    1.09,    3.83,    0.88,    0.91,    0.86,    0.81,    0.85,    0.94,    0.91,    0.88
59,16:26:29:972,   44.53,    1.08,    1.07,    1.10,    3.84,    0.81,    0.83,    0.88,    0.79,    0.82,    0.83,    0.87,    0.87
60,16:26:30:074,   45.22,    1.07,    1.06,    1.09,    3.78,    0.88,    0.83,    0.82,    0.83,    0.79,    0.88,    0.86,    0.83
61,16:26:30:177,   45.12,    1.04,    1.04,    1.06,    3.72,    0.84,    0.86,    0.83,    0.83,    0.82,    0.82,    0.88,    0.80
62,16:26:30:279,   45.32,    1.06,    1.05,    1.08,    3.76,    0.88,    0.81,    0.84,    1.00,    1.03,    0.99,    0.82,    0.81
63,16:26:30:381,   44.63,    1.05,    1.05,    1.07,    3.80,    0.85,    0.88,    0.86,    0.87,    0.79,    0.84,    0.89,    0.78
64,16:26:30:483,   44.79,    1.08,    1.07,    1.10,    3.84,    0.83,    0.91,    0.86,    0.85,    0.85,    0.87,    0.84,    0.84
65,16:26:30:585,   45.47,    1.09,    1.08,    1.11,    3.85,    0.84,    0.92,    0.86,    0.91,    0.86,    0.87,    0.87,    0.96
66,16:26:30:688,   44.60,    1.08,    1.07,    1.10,    3.81,    0.87,    0.86,    1.06,    0.84,    0.81,    0.89,    0.89,    0.85
67,16:26:30:791,   45.59,    1.03,    1.02,    1.05,    3.67,    0.88,    0.84,    0.89,    0.92,    0.86,    0.95,    0.88,    0.92
68,16:26:30:895,   44.22,    1.07,    1.06,    1.09,    3.85,    0.87,    0.85,    0.85,    0.84,    0.79,    0.84,    0.95,    0.91
69,16:26:30:996,   44.99,    1.09,    1.08,    1.11,    3.84,    0.86,    0.82,    0.82,    0.78,    0.85,    0.85,    0.94,    0.82
70,16:26:31:099,   45.25,    1.10,    1.08,    1.11,    3.84,    0.83,    0.89,    0.88,    0.81,    0.86,    0.90,    0.96,    0.84
71,16:26:31:201,   45.06,    1.08,    1.08,    1.10,    3.82,    0.91,    0.83,    0.88,    0.81,    0.88,    0.85,    0.97,    0.78
72,16:26:31:304,   45.16,    1.09,    1.09,    1.12,    3.79,    0.85,    0.85,    0.89,    0.80,    0.92,    0.89,    0.92,    0.86
73,16:26:31:405,   45.14,    1.03,    1.03,    1.04,    3.68,    0.88,    0.84,    0.80,    0.85,    0.88,    0.90,    0.87,    0.86
74,16:26:31:507,   44.52,    1.01,    1.01,    1.03,    3.63,    0.93,    0.87,    0.78,    0.85,    0.78,    0.86,    0.84,    0.79
75,16:26:31:609,   45.00,    1.06,    1.05,    1.07,    3.71,    0.84,    0.89,    0.88,    0.80,    0.86,    0.91,    0.85,    0.84
